"Période du ",,8/1/14,"au",,,10/31/14,,,,,,,,,,
,"Catégorie objets","Déposés",,,,"Restitués Perdants",,,"Taux",,,"Restitués Inventeurs",,,"Taux",
"PARAPLUIE PLIANT","Accessoires",1,415,416,0.8771374955,0,1,1,0.00%,0.24%,0.24%,0,0,,0.00%,0.00%
"AGENDA ÉLECTRONIQUE","High Tech, vidéo, musique",0,1,1,0.0021085036,0,0,0,,0.00%,0.00%,0,0,,,0.00%
"ALBUM / PRESS - BOOK","Autres",0,4,4,0.0084340144,0,0,0,,0.00%,0.00%,0,0,,,0.00%
"ARMES","Autres",0,2,2,0.0042170072,0,0,0,,0.00%,0.00%,0,0,,,0.00%
"AUMONIERE","Sacs",0,1,1,0.0021085036,0,0,0,,0.00%,0.00%,0,0,,,0.00%
"AUTRE BIJOU","Accessoires",0,19,19,0.0400615683,0,0,0,,0.00%,0.00%,0,0,,,0.00%
"AUTRES  JOUET","Autres",0,37,37,0.078014633,0,0,0,,0.00%,0.00%,0,0,,,0.00%
"AUTRES  MONTRE","Accessoires",0,1,1,0.0021085036,0,0,0,,0.00%,0.00%,0,0,,,0.00%
"AUTRES  OPTIQUE","Accessoires",0,2,2,0.0042170072,0,0,0,,0.00%,0.00%,0,0,,,0.00%
"AUTRES  PUÉRICULTURE","Autres",1,9,10,0.0210850359,0,0,0,0.00%,0.00%,0.00%,0,0,,0.00%,0.00%
"AUTRES ACCESSOIRES  PHOTO","Autres",1,8,9,0.0189765324,0,0,0,0.00%,0.00%,0.00%,0,0,,0.00%,0.00%
"AUTRES ACCESSOIRES INFORMATIQUES","High Tech, vidéo, musique",0,41,41,0.0864486474,0,0,0,,0.00%,0.00%,0,0,,,0.00%
"AUTRES ACCESSOIRES OPTIQUES","Accessoires",0,2,2,0.0042170072,0,0,0,,0.00%,0.00%,0,0,,,0.00%
"AUTRES ACCESSOIRES TELEPHONIE","High Tech, vidéo, musique",1,46,47,0.099099669,0,0,0,0.00%,0.00%,0.00%,0,0,,0.00%,0.00%
"AUTRES ACCESSOIRES VESTIMENTAIRES","Accessoires",0,36,36,0.0759061294,0,0,0,,0.00%,0.00%,0,0,,,0.00%
"AUTRES ACCESSOIRES VIDEOS","High Tech, vidéo, musique",0,5,5,0.010542518,0,0,0,,0.00%,0.00%,0,0,,,0.00%
